f,tb
10000000.0,1058959.9155908353
10848096.388007432,1062357.05396927
11768119.524349991,1065803.5784360263
12766169.490574088,1069305.7912851623
13848863.713938717,1072867.9091557278
15023380.84331858,1076481.3800427795
16297508.346206434,1080136.62317087
17679694.142400302,1083827.7997228606
19179102.616724886,1087549.1933275627
20805675.382171717,1091293.8554690396
22570197.196339216,1095054.5401772638
24484367.468222294,1098823.9028695363
26560877.82946684,1102594.378862827
28813496.284414593,1106358.1336513683
31257158.496882353,1110107.0850405912
33908066.81894053,1113832.8998773198
36783797.71828634,1117526.9206392355
39903418.31649381,1121179.6080100762
43287612.810830615,1124777.4343409622
46958819.61786349,1128292.0795641544
50941380.14816375,1131656.4328799979
55261700.198540874,1134733.6871943986
59948425.03189409,1137306.3798102767
65032629.305522464,1139115.3353910404
70548023.10718645,1139944.4963213415
76531175.46501343,1139701.4291168458
83021756.81319736,1138432.6408134887
90062802.02112776,1136250.7247096116
97700995.72992246,1133203.4736865303
105986981.88825037,1129143.8057094999
114975699.53977357,1123652.4390775277
124726747.08860429,1116037.253333981
135304777.45798075,1105404.2199614372
146779926.76220676,1090776.967815484
159228279.3341094,1071237.3856748235
172732372.1912987,1046061.3503345731
187381742.2860387,1014826.1146621248
203273520.16717118,977473.5098443516
220513073.9903041,934328.3100344944
239214708.14626387,886080.234257184
259502421.1399732,833730.0154317522
281510727.74477327,778491.6015812877
305385550.88334125,721655.736272664
331285189.1487241,664446.6852221594
359381366.3804626,607914.6604825344
389860370.25490636,552888.9151806143
422924287.4389499,499986.8153854227
458792343.49670804,449653.9884449254
497702356.4332114,402209.14320041914
539912313.5125897,357877.9286051064
585702081.8056673,316813.5397328102
635375263.8084481,279109.758534328
689261210.4349681,244811.81037432543
747717204.7313224,213923.59924194397
811130830.7896856,186405.14839620283
879922543.5691074,162158.7903966425
954548456.6618328,141013.57110194588
1035503366.4891319,122722.29192558046
1123324032.9780266,106979.50429023893
1218592738.4710846,93455.65013213562
1321941148.4660287,81832.93766472302
1434054499.7832754,71829.64916897533
1555676143.9304721,63208.54034154942
1687612475.7881453,55773.48426517675
1830738280.2953696,49361.45639239815
1986002532.5859098,43834.8318842202
2154434690.031878,39075.534490825885
2337151517.9132776,34981.20071048454
2535364493.9701166,31462.54936990473
2750387840.931946,28441.538371626753
2983647240.2833343,25849.890540490687
3236689285.040605,23627.907849487816
3511191734.2151275,21723.47331450304
3808974636.9540753,20091.184222322896
4132012400.1153345,18691.579794593992
4482446879.289317,17490.453616952233
4862601580.065353,16458.2255671336
5274997063.702609,15569.391674217444
5722367659.35022,14802.031059259023
6207679593.624754,14137.364880243793
6734150657.750829,13559.330323705568
7305271542.664449,13054.245984484822
7924828983.539186,12610.473292879675
8596930867.190788,12218.152621085363
9326033468.83218,11868.962449571005
10116970998.767502,11555.878579606244
10974987654.930546,11272.98653721
11905772393.787846,11015.336006860294
12915496650.148827,10778.78664324472
14010855255.980188,10559.899808216462
15199110829.529331,10355.810210299745
16488141929.074146,10164.121035701877
17886495290.574352,9982.85797945285
19403442495.579117,9810.39918297341
21049041445.12022,9645.421740457728
22834203047.182693,9486.829276037926
24770763559.91714,9333.709112648632
26871563070.25227,9185.310368101405
29150530628.251698,9041.043108014288
31622776601.683792,8900.435022231886
